"Landmark","Arm","Taxon","MeanRecoveryContribution","SE","n"
"Early post-index","Control","Bacteroidales (order)",4.08153243346561e-06,6.83302512541318e-06,11
"Early post-index","Control","Bacteroides (genus)",-0.00373277528631741,0.00610933687672893,11
"Early post-index","Control","Balneimonas (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Beijerinckiaceae (family)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Betaproteobacteria (class)",3.65357909941897e-07,7.93168081120738e-07,11
"Early post-index","Control","Bifidobacteriaceae (family)",0.0244349487309195,0.0235520707180501,11
"Early post-index","Control","Bifidobacterium (genus)",-0.0351484490624711,0.0346955518667513,11
"Early post-index","Control","Bilophila (genus)",0.000116990207870925,7.96093917999545e-05,11
"Early post-index","Control","Blattabacteriaceae (family)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Blautia (genus)",-0.0654427140411695,0.0351366466233321,11
"Early post-index","Control","Bosea (genus)",2.70422479801785e-06,2.51439710231921e-06,11
"Early post-index","Control","Bradyrhizobiaceae (family)",0.00016627482377593,0.000135992656129165,11
"Early post-index","Control","Bradyrhizobium (genus)",0.00020647506640127,0.000181354860822731,11
"Early post-index","Control","Brevibacillus (genus)",6.39376342398319e-07,1.38804414196129e-06,11
"Early post-index","Control","Brevibacteriaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Brevibacterium (genus)",5.48036864912845e-07,1.18975212168111e-06,11
"Early post-index","Control","Brochothrix (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Bulleidia (genus)",5.48036864912845e-07,1.18975212168111e-06,11
"Early post-index","Control","Burkholderia (genus)",0.000322143168988115,0.000322041328929376,11
"Early post-index","Control","Butyricimonas (genus)",-4.93171819188385e-05,5.31559621826115e-05,11
"Early post-index","Control","Butyrivibrio (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","CAB-I (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","CF231 (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","CFB-26 (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","CW040 (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Campylobacter (genus)",4.07469870907153e-06,3.7133781259702e-06,11
"Early post-index","Control","Candidatus Phytoplasma (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Candidatus Portiera (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Candidatus Rhodoluna (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Candidatus Solibacter (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Candidatus Xiphinematobacter (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Capnocytophaga (genus)",6.39376342398319e-07,1.38804414196129e-06,11
"Early post-index","Control","Catabacteriaceae (family)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Catenibacterium (genus)",1.64411059473853e-06,3.56925636504332e-06,11
"Early post-index","Control","Caulobacteraceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Cellulomonas (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Cellulosimicrobium (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Cellvibrio (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Cenarchaeaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Chitinophagaceae (family)",1.09607372982569e-06,2.37950424336221e-06,11
"Early post-index","Control","Chlamydiae (phylum)",-2.03695000054791e-05,2.04961091518593e-05,11
"Early post-index","Control","Chlamydiia (class)",1.32701307480858e-06,1.2557018384021e-06,11
"Early post-index","Control","Chloroflexaceae (family)",6.76217439851185e-05,6.76989363012363e-05,11
"Early post-index","Control","Chloroflexales (order)",3.23686462957021e-05,3.24459264335731e-05,11
"Early post-index","Control","Chromatiaceae (family)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Chromatiales (order)",0.000100678079727965,8.91481483473027e-05,11
"Early post-index","Control","Chthoniobacter (genus)",1.71866508158954e-06,1.64360557218725e-06,11
"Early post-index","Control","Citrobacter (genus)",0.000247343102763711,0.00127119750856758,11
"Early post-index","Control","Clavibacter (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Cloacibacillus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Clostridiaceae (family)",-0.0384089812129035,0.0437433153129292,11
"Early post-index","Control","Clostridiales (order)",-0.00119574689447268,0.0012355424965054,11
"Early post-index","Control","Clostridium (genus)",-0.00313754797839463,0.00397836943260834,11
"Early post-index","Control","Cohnella (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Collinsella (genus)",3.13596545268337e-05,4.5516880770343e-05,11
"Early post-index","Control","Colwelliaceae (family)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Comamonadaceae (family)",7.30715819883794e-07,1.58633616224148e-06,11
"Early post-index","Control","Conexibacteraceae (family)",3.23686462957021e-05,3.24459264335731e-05,11
"Early post-index","Control","Coprobacillus (genus)",-0.00425901803743467,0.00392181921109961,11
"Early post-index","Control","Coprococcus (genus)",-0.00052076940148868,0.000789084068593561,11
"Early post-index","Control","Coriobacteriaceae (family)",0.00137507984470673,0.00125047224894852,11
"Early post-index","Control","Corynebacterium (genus)",0.000785116096811156,0.000516164030856358,11
"Early post-index","Control","Coxiella (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Cryocola (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Cryomorphaceae (family)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Cupriavidus (genus)",7.36641586907703e-06,5.238343693249e-06,11
"Early post-index","Control","Curtobacterium (genus)",3.3486455873858e-07,4.27837548651885e-07,11
"Early post-index","Control","Cytophagaceae (family)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","DA101 (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","DHVE3 (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Dehalococcoidaceae (family)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Deinococcus (genus)",0.000277535508694955,0.000226032895821052,11
"Early post-index","Control","Deltaproteobacteria (class)",2.27170556171569e-06,2.11543801870231e-06,11
"Early post-index","Control","Demequina (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Dermabacter (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Dermabacteraceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Dermacoccus (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Desulfarculus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Desulfobacca (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Desulfobacteraceae (family)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Desulfobulbaceae (family)",0.000118150076553265,8.05844973436672e-05,11
"Early post-index","Control","Desulfococcus (genus)",7.85119130982537e-05,5.57654410828616e-05,11
"Early post-index","Control","Desulfomonile (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Desulfosporomusa (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Desulfovibrio (genus)",2.756792239068e-06,2.60003922572596e-06,11
"Early post-index","Control","Desulfovibrionaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Devosia (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Dialister (genus)",1.71054521113861e-06,1.4240183882734e-06,11
"Early post-index","Control","Dietzia (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Dorea (genus)",-0.0188843127083103,0.0111097474597655,11
"Early post-index","Control","Dysgonomonas (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","EB1017 (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Eggerthella (genus)",-0.00250652129313606,0.00139430961385523,11
"Early post-index","Control","Eikenella (genus)",3.24599857731875e-05,3.26148798599503e-05,11
"Early post-index","Control","Ellin515 (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Ellin6529 (class)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Endozoicimonaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Enterobacter (genus)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Enterobacteriaceae (family)",-0.00414093114742939,0.0431234394883885,11
"Early post-index","Control","Enterococcus (genus)",9.29350111865671e-05,7.57736032989162e-05,11
"Early post-index","Control","Epulopiscium (genus)",-7.1222352362049e-05,6.83710208542545e-05,11
"Early post-index","Control","Erwinia (genus)",1.2089891854557e-06,1.89918350625862e-06,11
"Early post-index","Control","Erysipelothrix (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Erysipelotrichaceae (family)",1.95008898425211e-06,2.54541025892905e-06,11
"Early post-index","Control","Erythrobacteraceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Exiguobacteraceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Exiguobacterium (genus)",1.601031507265e-06,1.4826723893642e-06,11
"Early post-index","Control","F16 (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Facklamia (genus)",3.65357909941897e-07,7.93168081120738e-07,11
"Early post-index","Control","Faecalibacterium (genus)",0.00697518672090516,0.0113556883418733,11
"Early post-index","Control","Filifactor (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Finegoldia (genus)",-4.63875380827657e-05,5.14021977734541e-05,11
"Early post-index","Control","Firmicutes (phylum)",0.000688434056537726,0.000558552106674612,11
"Early post-index","Control","Flammeovirgaceae (family)",1.12803368688284e-06,1.05126224338961e-06,11
"Early post-index","Control","Flavobacteriaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Flavobacteriales (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Flavobacterium (genus)",2.00946850468043e-06,4.36242444616406e-06,11
"Early post-index","Control","Flectobacillus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Francisellaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Friedmanniella (genus)",3.65357909941897e-07,7.93168081120738e-07,11
"Early post-index","Control","Fructobacillus (genus)",6.35034514281674e-05,4.71917614902823e-05,11
"Early post-index","Control","Fusobacteriaceae (family)",0.00162678697182894,0.00143559427003337,11
"Early post-index","Control","Fusobacteriales (order)",1.12803368688284e-06,1.05126224338961e-06,11
"Early post-index","Control","Fusobacterium (genus)",-0.010153168110581,0.0101871998010689,11
"Early post-index","Control","GCA004 (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","GMD14H09 (order)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","GW-22 (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Gallionella (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Gammaproteobacteria (class)",1.78371046223595e-06,1.73374398496296e-06,11
"Early post-index","Control","Gardnerella (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Gemella (genus)",7.87948432140424e-05,6.67512067789191e-05,11
"Early post-index","Control","Gemellaceae (family)",2.97550559203981e-05,1.86375798104206e-05,11
"Early post-index","Control","Gemellales (order)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Gemmata (genus)",3.02127393350611e-06,2.87463052707485e-06,11
"Early post-index","Control","Gemmataceae (family)",1.66595019991398e-05,1.62544578921516e-05,11
"Early post-index","Control","Gemmatimonadetes (class)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Geobacillus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Geobacter (genus)",0.000680573388817643,0.000662226534402937,11
"Early post-index","Control","Geobacteraceae (family)",7.48940176848871e-05,7.46352098424303e-05,11
"Early post-index","Control","Gluconacetobacter (genus)",5.79334576965218e-07,5.30694344373099e-07,11
"Early post-index","Control","Glycomyces (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Gordonia (genus)",1.41835255229405e-06,1.30588070872687e-06,11
"Early post-index","Control","Granulicatella (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","HOC36 (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","HTCC2207 (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Haemophilus (genus)",-0.000529855439953181,0.000835540532590211,11
"Early post-index","Control","Helcococcus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Helicobacter (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Hirschia (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Holdemania (genus)",-0.00112389866851305,0.00106785833553616,11
"Early post-index","Control","Hymenobacter (genus)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Hyphomicrobiaceae (family)",3.84855891785548e-06,3.6957704577032e-06,11
"Early post-index","Control","Hyphomonadaceae (family)",8.89790021098921e-06,8.35336418131351e-06,11
"Early post-index","Control","JG30-KF-CM45 (order)",9.45354731911891e-07,8.8089311915461e-07,11
"Early post-index","Control","JTB36 (family)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Janthinobacterium (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Jeotgalicoccus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Kingella (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Klebsiella (genus)",-0.000164955285298902,0.000165417188690263,11
"Early post-index","Control","Kocuria (genus)",6.41714108348285e-06,5.10124478936284e-06,11
"Early post-index","Control","Koribacteraceae (family)",4.56697387427371e-07,9.91460101400923e-07,11
"Early post-index","Control","LD1-PB3 (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Lachnobacterium (genus)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Lachnospira (genus)",1.64411059473853e-06,3.56925636504332e-06,11
"Early post-index","Control","Lachnospiraceae (family)",-0.00879486638648429,0.0162827721278144,11
"Early post-index","Control","Lactobacillaceae (family)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Lactobacillales (order)",0.000976326629648465,0.000746572698227255,11
"Early post-index","Control","Lactobacillus (genus)",0.0700822428535162,0.0612682545786549,11
"Early post-index","Control","Lactococcus (genus)",0.0780017036551814,0.0384177330283147,11
"Early post-index","Control","Lautropia (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Legionella (genus)",0.000233052293765338,0.000224618742619869,11
"Early post-index","Control","Legionellaceae (family)",6.81210864084539e-05,6.64234377475184e-05,11
"Early post-index","Control","Legionellales (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Lentzea (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Leptotrichia (genus)",6.59247057987153e-05,6.70997294260589e-05,11
"Early post-index","Control","Leucobacter (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Leuconostoc (genus)",0.0009829487401303,0.000659060109554537,11
"Early post-index","Control","Leuconostocaceae (family)",-0.000104606090554629,0.000190588706919951,11
"Early post-index","Control","Leucothrix (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Limnohabitans (genus)",2.53450607484101e-06,2.34487343147588e-06,11
"Early post-index","Control","Listeriaceae (family)",0.125433076355472,0.0693498560420864,11
"Early post-index","Control","Luteimonas (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Luteolibacter (genus)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Lysinibacillus (genus)",-0.00075478100645607,0.000431821825350496,11
"Early post-index","Control","MIZ46 (order)",1.27875268479664e-06,2.77608828392258e-06,11
"Early post-index","Control","MKC10 (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Macrococcus (genus)",5.48036864912845e-07,1.18975212168111e-06,11
"Early post-index","Control","Megamonas (genus)",-2.64675881898834e-05,2.65385339119849e-05,11
"Early post-index","Control","Megasphaera (genus)",0.00022496920757789,0.000157538608962994,11
"Early post-index","Control","Methanobrevibacter (genus)",4.00772445130277e-06,2.56217267140823e-06,11
"Early post-index","Control","Methylacidiphilales (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Methylibium (genus)",0.000962791556682424,0.000688349795723323,11
"Early post-index","Control","Methylobacillus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Methylobacteriaceae (family)",7.62013531936166e-07,7.7752773523333e-07,11
"Early post-index","Control","Methylobacterium (genus)",4.07251927803568e-06,3.74177069968043e-06,11
"Early post-index","Control","Methylococcales (order)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Microbacteriaceae (family)",2.96071011106506e-06,2.44894463699453e-06,11
"Early post-index","Control","Microbacterium (genus)",0.000673939013391778,0.000664750040117698,11
"Early post-index","Control","Micrococcaceae (family)",0.00027602232848132,0.000263284506763956,11
"Early post-index","Control","Micrococcales (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Micrococcus (genus)",6.70674054450692e-07,6.35431513065362e-07,11
"Early post-index","Control","Micromonosporaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Mitsuokella (genus)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Mobiluncus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Modestobacter (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Mogibacterium (genus)",3.86188586268565e-06,4.06612051895231e-06,11
"Early post-index","Control","Mollicutes (class)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Morganella (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Moryella (genus)",3.08254293975385e-06,2.6995925707453e-06,11
"Early post-index","Control","Mucispirillum (genus)",8.93689545466538e-05,8.93350417111408e-05,11
"Early post-index","Control","Mycobacterium (genus)",0.000897379649603085,0.000880435591473988,11
"Early post-index","Control","Mycoplasma (genus)",0.000135778186572097,0.000135677038353523,11
"Early post-index","Control","Myroides (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Myxococcales (order)",8.22055297369268e-07,1.78462818252166e-06,11
"Early post-index","Control","N1423WL (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Negativicoccus (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Neisseria (genus)",4.99969332470784e-05,5.01515926609479e-05,11
"Early post-index","Control","Neisseriaceae (family)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Nitrobacter (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Nitrospira (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Nocardioidaceae (family)",5.48036864912845e-07,1.18975212168111e-06,11
"Early post-index","Control","Nocardioides (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Nocardiopsaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Novosphingobium (genus)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","OD1 (phylum)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","OP11 (phylum)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","OP11-3 (class)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","OP11-4 (class)",3.65357909941897e-07,7.93168081120738e-07,11
"Early post-index","Control","OPB11 (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Oceanospirillales (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Ochrobactrum (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Odoribacter (genus)",-0.000364663104873367,0.000368882068628145,11
"Early post-index","Control","Oribacterium (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Oscillospira (genus)",-0.00103192761100101,0.00155932934096045,11
"Early post-index","Control","Oxalobacteraceae (family)",6.39376342398319e-07,1.38804414196129e-06,11
"Early post-index","Control","Paenibacillaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Paenibacillus (genus)",3.94420544637917e-06,4.67003412753544e-06,11
"Early post-index","Control","Parabacteroides (genus)",0.00124209512420243,0.000888997590261031,11
"Early post-index","Control","Paracoccus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Parascardovia (genus)",0.00676845304523731,0.0038982540699935,11
"Early post-index","Control","Pasteurellaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Patulibacter (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Paucibacter (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Pediococcus (genus)",-0.00820406683462518,0.00818906223156604,11
"Early post-index","Control","Pedobacter (genus)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Pelobacteraceae (family)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Peptococcaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Peptococcus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Peptoniphilus (genus)",7.12498950469431e-05,7.18955062477615e-05,11
"Early post-index","Control","Peptostreptococcaceae (family)",-0.124114037621422,0.0454209655525964,11
"Early post-index","Control","Peptostreptococcus (genus)",3.98956928500979e-06,3.31653777242722e-06,11
