"Transition","Taxon","HRIC alpha","Inverse Simpson","Pielou evenness","DivergenceScore"
"0020: day 5 to 12","Streptococcus (genus)",0.199043292338916,0.000863438544661308,-1.21984025638217,1.41888354872109
"0020: day 5 to 12","Clostridiaceae (family)",-0.0661869742937277,-7.46026186777205e-05,0.481326408230789,0.547513382524517
"0020: day 61 to 90","Lactobacillus (genus)",31.039052817601,74.4409528502075,-2.48670426159082,43.4019000326064
"0020: day 61 to 90","[Eubacterium] (genus)",-15.5711742802791,-12.7908117845155,9.1726342661516,24.7438085464307
"0020: day 61 to 90","[Ruminococcus] (genus)",-8.33569988129933,-2.36870080820859,10.1994887980887,18.5351886793881
"0020: day 61 to 90","Ruminococcus (genus)",8.08148498689366,2.2540219250224,-9.66935104304703,17.7508360299407
"0020: day 61 to 90","Blautia (genus)",-7.10518719134635,-1.17881286063134,10.1147238885426,17.219911079889
"0020: day 61 to 90","Akkermansia (genus)",-7.24301512998761,-1.6262654469321,9.35210468693009,16.5951198169177
"0020: day 61 to 90","Erysipelotrichaceae (family)",4.76820438432984,0.48608808296894,-8.23097883582577,12.9991832201556
"0020: day 61 to 90","Coprococcus (genus)",-3.04293728800719,-0.25570167668308,5.41760808533985,8.46054537334703
"0061: day -3 to -2","[Coprobacillaceae] (family)",30.5799890290686,65.5959117089499,-2.96881892933073,35.0159226798813
"0061: day -3 to -2","Lachnospiraceae (family)",-16.1137043487104,-13.3126845682407,11.4021524727948,27.5158568215052
"0061: day -3 to -2","Streptococcus (genus)",-13.7318485502829,-6.87117085122253,11.0252268375469,24.7570753878298
"0061: day -3 to -2","Ruminococcaceae (family)",7.38336407572817,1.0837041683334,-8.51765546898429,15.9010195447125
"0061: day -3 to -2","[Ruminococcus] (genus)",7.42569916727008,1.50113052247678,-7.49720355706247,14.9229027243325
"0061: day -3 to -2","Lactobacillus (genus)",-5.99768930197864,-0.975298923282108,7.08990354280946,13.0875928447881
"0061: day -3 to -2","Fusobacteriaceae (family)",-3.5567974286267,-0.226908462314309,5.56688987387665,9.12368730250335
"0061: day -3 to -2","Coprococcus (genus)",3.58532339060161,0.297467732552541,-4.90691516844762,8.49223855904923
"0061: day -4 to -3","[Coprobacillaceae] (family)",-39.9181503762483,-45.8600863968785,15.8980754247124,55.8162258009608
"0061: day -4 to -3","[Eubacterium] (genus)",10.5569557983403,2.48910820613559,-18.6313894191931,29.1883452175334
"0061: day -4 to -3","Akkermansia (genus)",24.3425517485301,44.4877106671956,-0.273877963457641,24.6164297119877
"0061: day -4 to -3","Streptococcus (genus)",10.9760589660499,4.73832468603706,-11.9192037841664,22.8952627502163
"0061: day -4 to -3","Coprococcus (genus)",-2.87508007238074,-0.142788922925112,8.87934893633081,11.7544290087115
"0061: day -4 to -3","Blautia (genus)",2.09459207424647,0.0692104266194036,-7.70313892398119,9.79773099822766
"0061: day -4 to -3","Lactobacillus (genus)",-1.43448852256781,-0.0303652611532928,5.74307271577272,7.17756123834053
"0061: day -4 to -3","Holdemania (genus)",-1.27940710932889,-0.029530300734497,4.78516204917975,6.06456915850864
"0061: day -5 to -4","Streptococcus (genus)",-37.791105141157,-27.3139556049067,31.0232909668572,68.8143961080142
"0061: day -5 to -4","[Coprobacillaceae] (family)",18.5003260955317,31.9574273269601,-7.34290264650046,25.8432287420321
"0061: day -5 to -4","[Eubacterium] (genus)",14.021935435141,17.3008963276372,-7.59306208541828,21.6149975205593
"0061: day -5 to -4","Akkermansia (genus)",-4.58647427612616,-18.9245790550449,-0.397082983639187,14.3381047789188
"0061: day -5 to -4","Blautia (genus)",4.91663947473909,0.662883562801662,-7.38405559918793,12.300695073927
"0061: day -5 to -4","Coprococcus (genus)",2.82697733530845,0.136439757127641,-5.58568162844258,8.41265896375102
"0061: day -5 to -4","Ruminococcaceae (family)",-4.29850216761437,-1.17521983189099,3.86846568527308,8.16696785288745
"0061: day -5 to -4","Fusobacteriaceae (family)",3.03997862671567,0.242009941125473,-5.09843137904908,8.13841000576475
