"Transition","TransitionOrder","ParticipantID","BeforeSampleID","AfterSampleID","BeforeDay","AfterDay","Taxon","BeforeRelativeAbundance","AfterRelativeAbundance","HRICContribution","SimpsonDirectionContribution","PielouEntropyContribution"
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Allobaculum (genus)",0,4.39976241282971e-05,-2.89884208511398e-05,-1.93579092893491e-09,9.66981900347492e-05
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Alloiococcus (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Anaerobacillus (genus)",0,0,1.37922576089682e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Anaerobrancaceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Anaerococcus (genus)",0,0.000109994060320743,-8.11227005650232e-05,-1.20986933058432e-08,0.000219663842209626
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Anaerofilum (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Anaeroplasma (genus)",0,6.59964361924456e-05,-4.86756378746464e-05,-4.35552959010354e-09,0.000139184518126522
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Anaerostipes (genus)",0,0,1.75537824114141e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Anaerotruncus (genus)",0,0,6.26920800407647e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Anoxybacillus (genus)",0,0,3.76152480244588e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Aquicella (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Arcanobacterium (genus)",0,0,3.76152480244588e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Arctic97B-4 (order)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Arthrobacter (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Atopobium (genus)",0,8.79952482565941e-05,-6.55965003978674e-05,-7.74316371573964e-09,0.000180033091725662
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Azorhizobium (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Azospira (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"BD7-3 (order)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"BF311 (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Bacillaceae (family)",0,0,5.01536640326118e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Bacillales (order)",0.000381133873272987,0,0.000321171983652813,1.45263029356069e-07,-0.000657371913599419
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Bacillus (genus)",0,6.59964361924456e-05,-4.24064298705699e-05,-4.35552959010354e-09,0.000139184518126522
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Bacteroidales (order)",0,0,4.263061442772e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Bacteroides (genus)",0,0.000285984556833931,-0.000205544744694942,-4.30713481688017e-08,0.000563294234898631
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Balneimonas (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Beijerinckiaceae (family)",0,0,3.76152480244588e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Bifidobacteriaceae (family)",0,0.000461975053347119,-0.00039376617354807,-2.13420949915074e-07,0.000777335287024203
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Bifidobacterium (genus)",0.113863744640305,4.39976241282971e-05,0.104832032015196,0.0129649504077216,-0.0541064400201844
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Bilophila (genus)",0,0,7.52304960489176e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Blattabacteriaceae (family)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Blautia (genus)",0.346164840400191,0.412763710759619,-0.0636704028927186,0.067190436387305,0.123728257231717
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Bosea (genus)",0,0,3.76152480244588e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Bradyrhizobiaceae (family)",0,0,6.26920800407647e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Bradyrhizobium (genus)",0,0,5.01536640326118e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Brevibacillus (genus)",0,0,8.77689120570706e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Brevibacteriaceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Brevibacterium (genus)",0,0,7.52304960489176e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Brochothrix (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Bulleidia (genus)",0,0,7.52304960489176e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Burkholderia (genus)",0.000190566936636494,0,0.000153235568003399,3.63157573390174e-08,-0.000357626166339765
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Butyricimonas (genus)",0,0,1.50460992097835e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Butyrivibrio (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"CAB-I (order)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"CF231 (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"CFB-26 (order)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"CW040 (order)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Campylobacter (genus)",0,0,5.01536640326118e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Candidatus Phytoplasma (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Candidatus Portiera (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Candidatus Rhodoluna (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Candidatus Solibacter (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Candidatus Xiphinematobacter (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Capnocytophaga (genus)",0,0,8.77689120570706e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Catabacteriaceae (family)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Catenibacterium (genus)",0,0,2.25691488146753e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Caulobacteraceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Cellulomonas (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Cellulosimicrobium (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Cellvibrio (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Cenarchaeaceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Chitinophagaceae (family)",0,0,1.50460992097835e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Chlamydiae (phylum)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Chloroflexaceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Chloroflexales (order)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Chloroflexi (phylum)",0,0,5.01536640326118e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Chromatiaceae (family)",0,0,3.76152480244588e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Chromatiales (order)",0,0,6.26920800407647e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Chthoniobacter (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Citrobacter (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Clavibacter (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Cloacibacillus (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Clostridiaceae (family)",0.00114340161981896,0,0.000991058534548698,6.53683632102312e-07,-0.00191423532171815
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Clostridiales (order)",0.000571700809909481,2.19988120641485e-05,0.000490394721212579,1.62936960293344e-07,-0.000970401769884125
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Clostridium (genus)",0,0,5.01536640326117e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Cohnella (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Collinsella (genus)",0,0,3.38537232220129e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Colwelliaceae (family)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Comamonadaceae (family)",0,0,1.00307328065224e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Conexibacteraceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Coprobacillus (genus)",0.0028585040495474,0,0.00256085372511105,8.1710454012789e-06,-0.00366839900779173
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Coprococcus (genus)",0.0204859456884231,0.0150251886398134,0.00487185932646377,0.000154278362328893,-0.00451955368396521
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Coriobacteriaceae (family)",0,0,5.76767136375035e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Corynebacterium (genus)",0,0,6.01843968391341e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Coxiella (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Cryocola (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Cryomorphaceae (family)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Cupriavidus (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Curtobacterium (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Cytophagaceae (family)",0,0,3.76152480244588e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"DA101 (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"DHVE3 (order)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Dehalococcoidaceae (family)",0,0,3.76152480244588e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Deinococcus (genus)",0,0,1.25384160081529e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Demequina (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Dermabacter (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Dermabacteraceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Dermacoccus (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Desulfarculus (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Desulfobacca (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Desulfobacteraceae (family)",0,0,3.76152480244588e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Desulfobulbaceae (family)",0,0,1.37922576089682e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Desulfococcus (genus)",0.000190566936636494,0,0.000153862488803807,3.63157573390174e-08,-0.000357626166339765
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Desulfomonile (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Desulfosporomusa (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Desulfovibrio (genus)",0,0,1.00307328065224e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Desulfovibrionaceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Devosia (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Dialister (genus)",0.00400190566936637,0,0.00359833735258265,1.60152489865067e-05,-0.00484074317492033
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Dietzia (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Dorea (genus)",0.030109575988566,0.065160481334008,-0.0327517617555673,-0.00252511958902813,0.0189416432908476
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Dysgonomonas (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"EB1017 (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Eggerthella (genus)",0,0,1.88076240122294e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Eikenella (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Ellin515 (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Endozoicimonaceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Enterobacter (genus)",0,0,3.76152480244588e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Enterobacteriaceae (family)",0.000857551214864221,0,0.000757289240095311,7.35394086115101e-07,-0.00132672636950319
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Enterococcus (genus)",0,0,3.25998816211976e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Epulopiscium (genus)",0.000381133873272987,0,0.000320545062852405,1.45263029356069e-07,-0.000657371913599419
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Erwinia (genus)",0,0,1.25384160081529e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Erysipelothrix (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Erysipelotrichaceae (family)",0,4.39976241282971e-05,-2.91138050112214e-05,-1.93579092893491e-09,9.66981900347492e-05
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Erythrobacteraceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Exiguobacteraceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Exiguobacterium (genus)",0,0,5.01536640326118e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"F16 (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Facklamia (genus)",0,0,5.01536640326118e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Faecalibacterium (genus)",0,0.000197989308577337,-0.000154589415957228,-3.91997663109319e-08,0.000369897854829132
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Filifactor (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Finegoldia (genus)",0,0.000109994060320743,-8.50096095275506e-05,-1.20986933058432e-08,0.000219663842209626
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Firmicutes (phylum)",0,0,1.25384160081529e-05,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Flammeovirgaceae (family)",0,0,3.76152480244588e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Flavobacteriaceae (family)",0,0,1.25384160081529e-07,0,0
