"Panel","PanelLabel","SampleID","SamplePlotID","SampleIndex","Alpha","Gamma","Beta","Turnover","RegionShort","Ocean.region","Layer","Depth.nominal","Temperature","Oxygen","ChlorophyllA","PO4","NO3"
"a","Arctic Ocean","TARA_B110000027","S35",35,0.183644124852214,0.379148616749428,0.109210045195111,0.195504491897214,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,7.48766,299.0073,0.825342,0,0
"a","Arctic Ocean","TARA_B110000238","S36",36,0.172171312721835,0.379148616749428,0.109210045195111,0.206977304027594,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,-1.649738,388.303875,1.417326,0.216027,NA
"a","Arctic Ocean","TARA_B110000208","S37",37,0.1662806775531,0.379148616749428,0.109210045195111,0.212867939196328,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,1.325833,348.196667,0.119264,0.047034,NA
"a","Arctic Ocean","TARA_B110000114","S38",38,0.161345423473908,0.379148616749428,0.109210045195111,0.217803193275521,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,1.365705,369.289812,1.019477,0.063634,2.150477
"b","North Atlantic Ocean","TARA_B100001146","S1",1,0.430263211969398,0.502589980902294,0.1349721086974,0.0723267689328966,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","MES",590,5.004169,232.660562,0,NA,19.964889
"b","North Atlantic Ocean","TARA_B100001559","S2",2,0.418928501447843,0.502589980902294,0.1349721086974,0.0836614794544508,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","DCM",80,16.74703,228.11655,0.16463,0.022,1.005795
"b","North Atlantic Ocean","TARA_B100001750","S3",3,0.410324405495693,0.502589980902294,0.1349721086974,0.0922655754066013,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","MES",250,18.129194,192.246187,0,0.179,3.578039
"b","North Atlantic Ocean","TARA_B110000014","S4",4,0.410050965845099,0.502589980902294,0.1349721086974,0.0925390150571952,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","MES",751,8.923581,208.76175,0,NA,13.716288
"b","North Atlantic Ocean","TARA_B100001765","S5",5,0.405193554322894,0.502589980902294,0.1349721086974,0.0973964265794006,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","MES",740,10.496305,152.7195,0.00482,1.34475,20.172519
"b","North Atlantic Ocean","TARA_B100001179","S6",6,0.404461653217844,0.502589980902294,0.1349721086974,0.0981283276844506,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","MES",800,10.167675,174.851333,0,NA,17.58633
"b","North Atlantic Ocean","TARA_B100001167","S7",7,0.401372447793785,0.502589980902294,0.1349721086974,0.101217533108509,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","MES",640,10.6855,137.3344,0.007712,1.3135,21.943329
"b","North Atlantic Ocean","TARA_B100001142","S8",8,0.398973844807685,0.502589980902294,0.1349721086974,0.103616136094609,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","SRF",5,13.993715,236.78925,0.169817,0.33275,5.013141
"b","North Atlantic Ocean","TARA_B100002049","S9",9,0.395282794289788,0.502589980902294,0.1349721086974,0.107307186612506,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","MES",640,9.735075,108.231313,0,1.2175,31.001404
"b","North Atlantic Ocean","TARA_B100001758","S10",10,0.378140890793386,0.502589980902294,0.1349721086974,0.124449090108908,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","SRF",5,18.82554,220.9492,0.156401,NA,0.808032
"b","North Atlantic Ocean","TARA_B100001175","S11",11,0.374765856609496,0.502589980902294,0.1349721086974,0.127824124292798,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","MIX",25,14.29128,241.1573,0.119381,0.167,3.283695
"b","North Atlantic Ocean","TARA_B100001769","S12",12,0.372058752899565,0.502589980902294,0.1349721086974,0.130531228002729,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","SRF",5,17.627142,229.368083,0.191003,0.0055,0.120853
"b","North Atlantic Ocean","TARA_B100001741","S13",13,0.370576132963997,0.502589980902294,0.1349721086974,0.132013847938297,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","SRF",5,20.481195,213.6889,0.120903,0.0015,1.009924
"b","North Atlantic Ocean","TARA_B100001778","S14",14,0.364745795998582,0.502589980902294,0.1349721086974,0.137844184903713,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","DCM",40,17.585567,229.097917,0.21402,0,0.61356
"b","North Atlantic Ocean","TARA_B100002052","S15",15,0.362747278192771,0.502589980902294,0.1349721086974,0.139842702709523,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","DCM",125,24.961605,193.38225,0.114913,NA,0
"b","North Atlantic Ocean","TARA_B100001540","S16",16,0.357266445450583,0.502589980902294,0.1349721086974,0.145323535451711,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","SRF",5,19.312775,213.9635,0.126112,NA,1.279722
"b","North Atlantic Ocean","TARA_B100002051","S17",17,0.350048050005727,0.502589980902294,0.1349721086974,0.152541930896568,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","SRF",5,24.98456,195.54125,0.123459,0.003,0
"b","North Atlantic Ocean","TARA_B100001564","S18",18,0.349493453879215,0.502589980902294,0.1349721086974,0.153096527023079,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","SRF",5,17.303005,232.28725,0.111686,0.0125,0.296016
"b","North Atlantic Ocean","TARA_B100001939","S19",19,0.341526858927716,0.502589980902294,0.1349721086974,0.161063121974579,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","SRF",5,27.1673,195.502875,0.094165,0.0132,0
"b","North Atlantic Ocean","TARA_B100001173","S20",20,0.338717688658687,0.502589980902294,0.1349721086974,0.163872292243607,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","SRF",5,14.31675,242.8405,0.191493,0.1595,3.209219
"b","North Atlantic Ocean","TARA_X000000368","S21",21,0.329380533250368,0.502589980902294,0.1349721086974,0.173209447651926,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","DCM",40,16.3584,NA,0.535777,NA,NA
"b","North Atlantic Ocean","TARA_B110000008","S22",22,0.300562368145311,0.502589980902294,0.1349721086974,0.202027612756983,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","DCM",40,10.79018,266.473125,0.789471,0.566253,7.129639
"b","North Atlantic Ocean","TARA_Y200000002","S23",23,0.279217491134488,0.502589980902294,0.1349721086974,0.223372489767806,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","SRF",9,20.238088,NA,0.180403,NA,NA
"b","North Atlantic Ocean","TARA_B110000003","S24",24,0.278729956817539,0.502589980902294,0.1349721086974,0.223860024084755,"North Atlantic Ocean","[NAO] North Atlantic Ocean (MRGID:1912)","SRF",5,11.09547,271.064125,0.772148,0.401861,4.467439
