"method","MethodLabel","Taxon","target_layer","lda_score","significant","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"LEfSe","LEfSe","KF560379.1.1388","SRF",-2.98369987697154,TRUE,5121,75,0.433526011560694,0.00105634391138101,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Mesonia"
"LEfSe","LEfSe","HQ673064.1.1522","SRF",-2.97849093971049,TRUE,4958,108,0.624277456647399,0.00107811173195402,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","KF227664.1.1249","SRF",-2.97595982526032,TRUE,6832,148,0.855491329479769,0.00147427449630214,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169"
"LEfSe","LEfSe","KF901022.32876.34346","SRF",-2.97564340980332,TRUE,4723,41,0.236994219653179,0.000986588913475587,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","LUNM01000108.5034.6576","SRF",-2.97516812184645,TRUE,5574,100,0.578034682080925,0.00119997085491807,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","AF406525.1.1413","SRF",-2.97499345716296,TRUE,9570,114,0.658959537572254,0.00206507108368569,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86",NA
"LEfSe","LEfSe","HQ672635.1.1436","SRF",-2.96303906785639,TRUE,5255,130,0.751445086705202,0.00114236689346631,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","AACY020564058.27.1569","SRF",-2.9569053809785,TRUE,6652,108,0.624277456647399,0.00136020604364405,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","JQ222470.1.914","SRF",-2.9512219044487,TRUE,3826,52,0.300578034682081,0.000942242816594054,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","GU474869.28791.30298","SRF",-2.93553713339392,TRUE,8173,102,0.589595375722543,0.00156505373704223,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"LEfSe","LEfSe","AACY020288370.770.2267","SRF",-2.93067928980551,TRUE,4641,77,0.445086705202312,0.00115185712312428,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996",NA
"LEfSe","LEfSe","U40238.31654.33126","SRF",-2.92368318353031,TRUE,7652,109,0.630057803468208,0.00173684958914211,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","DQ009458.1.2068","SRF",-2.9057338608113,TRUE,4863,93,0.53757225433526,0.000958585813432217,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","LWDU01034907.2867.4325","SRF",-2.90197093600467,TRUE,4259,102,0.589595375722543,0.000944053164752447,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"LEfSe","LEfSe","GU061453.1.1514","SRF",-2.89994901877931,TRUE,6344,102,0.589595375722543,0.00133938843832923,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86",NA
"LEfSe","LEfSe","KR269693.1.1432","SRF",-2.88361409665915,TRUE,3425,23,0.132947976878613,0.000794826539840769,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","CEVK01003300.11.1554","SRF",-2.88020736213561,TRUE,4773,103,0.595375722543353,0.000947827566129754,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","LWDU01034400.8868.10368","SRF",-2.85242522797927,TRUE,3700,46,0.265895953757225,0.000745141698996163,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Marinoscillum"
"LEfSe","LEfSe","HQ674232.1.1463","SRF",-2.85011389119858,TRUE,4119,84,0.485549132947977,0.000822092660738846,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"LEfSe","LEfSe","HQ673789.1.1528","SRF",-2.84839023376433,TRUE,3528,39,0.225433526011561,0.000733201175260622,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","HQ672479.1.1504","SRF",-2.84807578965667,TRUE,3505,26,0.15028901734104,0.000732294163549602,"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","ZD0417"
"LEfSe","LEfSe","KJ589888.1.1430","SRF",-2.83884270985003,TRUE,3416,108,0.624277456647399,0.000769564774538329,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","AY458632.37175.38720","SRF",-2.82894063157672,TRUE,3492,65,0.375722543352601,0.000718031516276516,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86",NA
"LEfSe","LEfSe","HQ673270.1.1522","SRF",-2.81961276313636,TRUE,3086,37,0.213872832369942,0.000685773578505695,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","JQ678431.1.1528","SRF",-2.81552749810049,TRUE,3128,42,0.242774566473988,0.00068178437184629,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","AY534097.1.1494","SRF",-2.81536907910816,TRUE,3597,68,0.393063583815029,0.000710630411710681,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"LEfSe","LEfSe","EU686604.16726.18273","SRF",-2.81042170085597,TRUE,3467,66,0.38150289017341,0.00070298446959003,"Bacteria","Verrucomicrobia","Arctic97B-4",NA,NA,NA
"LEfSe","LEfSe","GQ337163.1.1448","SRF",-2.80901648730457,TRUE,7878,151,0.872832369942196,0.00171336083259456,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","JN591868.1.1483","SRF",-2.80559233234565,TRUE,3214,102,0.589595375722543,0.000730701007512264,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"LEfSe","LEfSe","ABEF01054107.3077.4560","SRF",-2.8005546430958,TRUE,3453,99,0.572254335260116,0.000702936494653565,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"LEfSe","LEfSe","HQ674222.1.1525","SRF",-2.78980351776534,TRUE,3148,45,0.260115606936416,0.000643013921038449,"Bacteria","Gemmatimonadetes","BD2-11",NA,NA,NA
"LEfSe","LEfSe","EF597693.1.904","SRF",-2.78733982095462,TRUE,3075,38,0.219653179190751,0.000637399649507778,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","KF906598.1.1517","SRF",-2.78593043276752,TRUE,3502,94,0.543352601156069,0.000765107277436102,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Mesonia"
"LEfSe","LEfSe","CETY01181057.5603.7083","SRF",-2.78226925584044,TRUE,9625,115,0.664739884393064,0.00211250353893296,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"LEfSe","LEfSe","CETA01059287.1452.3237","SRF",-2.77983017288329,TRUE,2009,23,0.132947976878613,0.000632490501788983,"Eukaryota","SAR","Rhizaria","Retaria","Polycystinea","Collodaria"
"LEfSe","LEfSe","JQ678468.1.1495","SRF",-2.7765502680633,TRUE,3176,100,0.578034682080925,0.000680162467977805,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"LEfSe","LEfSe","AB193918.1.1524","SRF",-2.76609322333574,TRUE,2903,34,0.196531791907514,0.000606142567902636,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","LWFP01001472.3412.4949","SRF",-2.76478059157361,TRUE,2588,50,0.289017341040462,0.000691022933215949,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oleibacter"
"LEfSe","LEfSe","AF121095.1.906","SRF",-2.7561547838527,TRUE,2838,48,0.277456647398844,0.000596828400917795,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","DQ396007.1.1499","SRF",-2.75255410791377,TRUE,2925,57,0.329479768786127,0.000606822392614867,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas"
"LEfSe","LEfSe","GQ375271.1.1521","SRF",-2.74999864448784,TRUE,2847,53,0.30635838150289,0.000585053406264596,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","KC682743.1.1434","SRF",-2.74799180489259,TRUE,2885,76,0.439306358381503,0.000598893461942013,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","AY534088.1.1290","SRF",-2.74623508383028,TRUE,3053,66,0.38150289017341,0.000604242522077677,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"LEfSe","LEfSe","JQ224996.1.1347","SRF",-2.73907237998198,TRUE,5343,103,0.595375722543353,0.0011935202710518,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","KF650575.28495.30147","SRF",-2.73087818878011,TRUE,2738,56,0.323699421965318,0.000568908418281231,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Rhynchosporium"
"LEfSe","LEfSe","AB974126.1.1425","SRF",-2.72061970652964,TRUE,2722,34,0.196531791907514,0.000546623357709475,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996",NA
"LEfSe","LEfSe","EU686588.13514.15011","SRF",-2.71890552479912,TRUE,2735,65,0.375722543352601,0.000559548938599174,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996",NA
"LEfSe","LEfSe","AQTX01000014.3416.4856","SRF",-2.71666658801237,TRUE,2646,34,0.196531791907514,0.000540826895590057,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"LEfSe","LEfSe","JQ220569.1.914","SRF",-2.70963931900377,TRUE,2488,39,0.225433526011561,0.000532849415543802,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","EU795186.1137.2679","SRF",-2.70484840633538,TRUE,2573,95,0.549132947976879,0.000571178622286737,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","HQ674603.1.1520","SRF",-2.70445224087662,TRUE,2753,123,0.710982658959538,0.000657731653627844,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","ASPJ01000020.8825.10366","SRF",-2.70270676682831,TRUE,3129,90,0.520231213872832,0.000640924169912893,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","DQ156348.18592.20063","SRF",-2.69764155526929,TRUE,10393,114,0.658959537572254,0.00213891506733908,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"LEfSe","LEfSe","CP001650.3898474.3899996","SRF",-2.68984892920597,TRUE,2445,57,0.329479768786127,0.000520086863604406,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Zunongwangia"
"LEfSe","LEfSe","HQ671930.1.1504","SRF",-2.68360825325234,TRUE,3183,107,0.61849710982659,0.000807986510085719,"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","ZD0417"
"LEfSe","LEfSe","FJ150826.1.1353","SRF",-2.68002839445381,TRUE,2349,48,0.277456647398844,0.000500245811498664,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","HQ673241.1.1522","SRF",-2.67623842855333,TRUE,2155,43,0.248554913294798,0.000492661473873533,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","KJ589871.1.1509","SRF",-2.67308551690542,TRUE,1850,36,0.208092485549133,0.000489432812549054,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","KJ589927.1.1424","SRF",-2.6679159932949,TRUE,1863,23,0.132947976878613,0.000483290680276448,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","HQ673764.1.1437","SRF",-2.6665103695519,TRUE,2422,91,0.526011560693642,0.000504592673920259,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","DQ396141.1.1503","SRF",-2.66505501484149,TRUE,2354,57,0.329479768786127,0.000484110675476502,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"LEfSe","LEfSe","HQ674163.1.1495","SRF",-2.6649363396744,TRUE,2429,57,0.329479768786127,0.000486937087366837,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"LEfSe","LEfSe","KJ589945.1.1504","SRF",-2.66277541681546,TRUE,2081,34,0.196531791907514,0.000477591634362992,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","JX879052.1.1448","SRF",-2.65131230385064,TRUE,3240,132,0.763005780346821,0.000679185906913056,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169"
"LEfSe","LEfSe","JN832934.1.1425","SRF",-2.64983228993571,TRUE,2144,63,0.364161849710983,0.000625731065226698,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86",NA
"LEfSe","LEfSe","GQ337107.1.1475","SRF",-2.64909373611557,TRUE,2289,45,0.260115606936416,0.000466558224376608,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured"
"LEfSe","LEfSe","GU246591.1.1778","SRF",-2.64897810841425,TRUE,2262,37,0.213872832369942,0.000465203414852242,"Eukaryota","SAR","Rhizaria","Retaria","Acantharia","Acantharea"
"LEfSe","LEfSe","ABEF01054488.3654.5112","SRF",-2.64732078084604,TRUE,2100,34,0.196531791907514,0.000461234568618217,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","AY534099.1.1476","SRF",-2.64373291489967,TRUE,4179,71,0.410404624277457,0.000757123807006828,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"LEfSe","LEfSe","EU795202.6061.7596","SRF",-2.64122912936295,TRUE,2575,69,0.398843930635838,0.000510594985009942,"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Salinisphaeraceae","ZD0417"
"LEfSe","LEfSe","GQ337221.1.1465","SRF",-2.63263822416615,TRUE,2500,100,0.578034682080925,0.000507007569077238,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"LEfSe","LEfSe","HQ672590.1.1446","SRF",-2.62985165822891,TRUE,2411,95,0.549132947976879,0.000498676110686215,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","FJ000247.1.1396","SRF",-2.61838698189833,TRUE,2011,40,0.23121387283237,0.000439091215844242,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Amoebophrya"
"LEfSe","LEfSe","EU686630.17889.19427","SRF",-2.61239907110686,TRUE,2072,39,0.225433526011561,0.000426228534211112,"Bacteria","Acidobacteria","Subgroup",NA,NA,NA
"LEfSe","LEfSe","JQ221004.1.915","SRF",-2.61076405434796,TRUE,2045,42,0.242774566473988,0.000427927433273413,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","JX441548.1.1451","SRF",-2.60775719670628,TRUE,2281,106,0.61271676300578,0.000478019444552877,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169"
"LEfSe","LEfSe","JX441510.1.1475","SRF",-2.6039093563487,TRUE,2195,46,0.265895953757225,0.00042349460666483,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"LEfSe","LEfSe","HQ673355.1.1480","SRF",-2.5959962583394,TRUE,2011,41,0.236994219653179,0.000410586893268725,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"LEfSe","LEfSe","HQ672279.1.1435","SRF",-2.58693758507329,TRUE,2294,115,0.664739884393064,0.000497347214922101,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","JN166364.1.1484","SRF",-2.58590060830968,TRUE,2382,68,0.393063583815029,0.000477014077294282,"Bacteria","Nitrospinae","Nitrospinia","Nitrospinales","Nitrospinaceae","uncultured"
"LEfSe","LEfSe","HM798599.1.1491","SRF",-2.58280283107982,TRUE,2481,80,0.46242774566474,0.000472567028982825,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86",NA
"LEfSe","LEfSe","AB613239.1.1794","SRF",-2.58140881864547,TRUE,1146,44,0.254335260115607,0.000412437065618085,"Eukaryota","SAR","Rhizaria","Retaria","Polycystinea","Collodaria"
"LEfSe","LEfSe","HQ672326.1.1437","SRF",-2.58126911389288,TRUE,1857,51,0.294797687861272,0.000402447746862906,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","AB974099.1.1395","SRF",-2.58027599102541,TRUE,3454,137,0.791907514450867,0.000726241796579557,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169"
"LEfSe","LEfSe","JYMV01052913.620.2100","SRF",-2.57968477211063,TRUE,1770,31,0.179190751445087,0.000394245301879993,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"LEfSe","LEfSe","JN018915.1.1419","SRF",-2.57729212245955,TRUE,1996,50,0.289017341040462,0.000398246116020177,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","KJ589894.1.1424","SRF",-2.57043759671472,TRUE,1956,82,0.473988439306358,0.000422250535205633,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","JN018922.1.1342","SRF",-2.56501193161391,TRUE,1689,77,0.445086705202312,0.000397415039711072,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","DQ513090.1.1481","SRF",-2.56296998026893,TRUE,2916,109,0.630057803468208,0.00062492782758302,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996",NA
"LEfSe","LEfSe","DQ071077.1.1502","SRF",-2.55617294900006,TRUE,1394,62,0.358381502890173,0.000425098448045955,"Bacteria","Planctomycetes","OM190","uncultured",NA,NA
"LEfSe","LEfSe","CERX01054956.2482.3964","SRF",-2.54654028683667,TRUE,2986,74,0.427745664739884,0.000578923388203172,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"LEfSe","LEfSe","AY726847.1.1222","SRF",-2.54592388150842,TRUE,1584,18,0.104046242774566,0.000364680861684036,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncultured","uncultured"
"LEfSe","LEfSe","HQ672580.1.1485","SRF",-2.54428010768263,TRUE,1714,32,0.184971098265896,0.000363299248702145,"Bacteria","Nitrospinae","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina"
"LEfSe","LEfSe","HQ674579.1.1521","SRF",-2.5441854659015,TRUE,1764,47,0.271676300578035,0.000364826480950174,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","HQ672275.1.1501","SRF",-2.540401711079,TRUE,1787,34,0.196531791907514,0.00036087386747603,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncultured","uncultured"
"LEfSe","LEfSe","GQ351140.1.1516","SRF",-2.53989002827751,TRUE,1923,90,0.520231213872832,0.000410055659832396,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","KU898233.1.1480","SRF",-2.53928170289028,TRUE,1819,42,0.242774566473988,0.000360279524428742,"Bacteria","Verrucomicrobia","Arctic97B-4",NA,NA,NA
"LEfSe","LEfSe","EF597697.1.952","SRF",-2.53636165778475,TRUE,2064,78,0.450867052023121,0.000424159708090127,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","AY726833.1.1216","SRF",-2.53444737681311,TRUE,1497,33,0.190751445086705,0.000356618802426897,"Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus"
"LEfSe","LEfSe","GQ337171.1.1500","SRF",-2.53269398315932,TRUE,1279,22,0.127167630057803,0.00035792281893236,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Pseudohongiella"
"LEfSe","LEfSe","U75257.1.1467","SRF",-2.53058998463367,TRUE,2000,93,0.53757225433526,0.000410181188607976,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","KJ589873.1.1455","SRF",-2.53021891815175,TRUE,2152,79,0.456647398843931,0.000408816959932986,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"LEfSe","LEfSe","GQ348168.1.1389","SRF",-2.52777672992544,TRUE,1864,30,0.173410404624277,0.000353471874307294,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","HQ674104.1.1522","SRF",-2.52683259476501,TRUE,1723,66,0.38150289017341,0.000354162029975061,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","JX879031.1.1407","SRF",-2.52400379836907,TRUE,2161,111,0.641618497109827,0.000457149731440562,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169"
"LEfSe","LEfSe","JQ221308.1.914","SRF",-2.52130947482617,TRUE,1646,33,0.190751445086705,0.000344529413286401,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","EU686616.36653.38121","SRF",-2.51530213957866,TRUE,2432,104,0.601156069364162,0.000487510137448287,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"LEfSe","LEfSe","HQ673734.1.1524","SRF",-2.51416991239423,TRUE,1723,40,0.23121387283237,0.000340465198799829,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","DQ396310.1.1513","SRF",-2.51398361168366,TRUE,1674,57,0.329479768786127,0.000351270244740939,"Bacteria","Verrucomicrobia","Arctic97B-4",NA,NA,NA
"LEfSe","LEfSe","AACY020430088.197.1720","SRF",-2.50803249998094,TRUE,2807,98,0.566473988439306,0.000546134618329199,"Bacteria","Proteobacteria","AEGEAN-245","marine",NA,NA
"LEfSe","LEfSe","AYLG01000001.49867.51409","SRF",-2.50457759431916,TRUE,1785,88,0.508670520231214,0.000495133411628035,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","JN233054.1.1435","SRF",-2.50376494426135,TRUE,1666,33,0.190751445086705,0.000334312359899694,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"LEfSe","LEfSe","JQ222279.1.913","SRF",-2.50273208907754,TRUE,1575,39,0.225433526011561,0.000330059011755086,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"LEfSe","LEfSe","KJ589921.1.1438","SRF",-2.49981061891804,TRUE,1664,81,0.468208092485549,0.000378648093900482,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
